,Annual_Deposit_Amount,Home_value,Years_with_the_bank,Loan_held,Wealth_portfolio_held,Automated_menu,Priority
2175,17972,34117,1,1,0,2,0
2176,16128,28544,1,1,0,4,0
2177,26346,26346,3,0,0,1,1
2178,16886,32188,2,1,0,3,0
2179,47935,25960,3,0,1,4,1
2180,26300,26300,1,0,0,4,0
2181,18615,32095,2,1,0,3,0
2182,18652,31248,2,1,0,1,0
2183,15156,29794,2,1,0,3,0
2184,21817,32192,1,1,0,2,0
2185,14058,26423,1,1,0,2,0
2186,57054,33965,2,1,1,4,1
2187,18573,31124,2,1,0,2,0
2188,23961,36010,0,1,0,1,0
2189,22053,34548,1,1,0,3,0
2190,25877,25877,1,0,0,2,0
2191,22887,35615,1,1,0,1,0
2192,25502,25502,1,0,0,1,0
2193,26700,26700,2,0,0,3,0
2194,22689,35017,1,1,0,3,0
2195,25921,25921,2,0,0,2,0
2196,25445,25445,1,0,0,1,0
2197,11788,26576,3,1,0,2,0
2198,24918,24918,1,0,0,1,0
2199,25894,25894,1,0,0,4,0
2200,25770,25770,2,0,0,3,0
2201,25784,25784,1,0,0,2,0
2202,25197,25197,0,0,0,1,0
2203,26334,26334,2,0,0,2,0
2204,25469,25469,2,0,0,4,0
2205,20168,33872,1,1,0,3,0
2206,15223,30133,1,1,0,3,0
2207,43436,31371,2,1,1,3,1
2208,26113,26113,0,0,0,3,0
2209,56920,24438,2,0,1,4,1
2210,26373,26373,2,0,0,2,0
2211,21284,32262,2,1,0,2,0
2212,64999,25599,1,0,1,1,1
2213,25179,25179,1,0,0,4,0
2214,20110,32342,2,1,0,3,0
2215,26525,26525,1,0,0,1,0
2216,26139,26139,1,0,0,3,0
2217,16546,30480,1,1,0,1,0
2218,24955,24955,1,0,0,4,0
2219,25918,25918,1,0,0,1,0
2220,22177,33959,1,1,0,3,0
2221,26019,26019,1,0,0,1,0
2222,19220,30966,1,1,0,3,0
2223,18738,32954,3,1,0,2,1
2224,26567,26567,3,0,0,4,0
2225,26370,26370,1,0,0,3,0
2226,51203,33354,1,1,1,1,1
2227,17929,29966,1,1,0,1,0
2228,20908,32360,1,1,0,4,0
2229,43604,30018,2,1,1,1,1
2230,25740,25740,1,0,0,2,0
2231,26562,26562,1,0,0,1,0
2232,69209,37605,2,1,1,3,1
2233,24796,24796,1,0,0,1,0
2234,48103,32755,2,1,1,3,1
2235,23145,35102,1,1,0,3,0
2236,25838,25838,2,0,0,3,0
2237,25955,25955,1,0,0,4,0
2238,26157,26157,1,0,0,1,0
2239,24295,36490,2,1,0,4,0
2240,59005,35173,2,1,1,4,1
2241,60072,25570,1,0,1,1,1
2242,42414,30327,3,1,1,1,1
2243,13085,28439,2,1,0,3,0
2244,19609,32039,0,1,0,3,0
2245,47599,26088,2,0,1,4,1
2246,42504,25558,2,0,1,2,1
2247,25971,25971,1,0,0,3,0
2248,51093,32476,2,1,1,4,1
2249,50485,33306,2,1,1,2,1
2250,54590,33997,2,1,1,1,1
2251,62173,36204,2,1,1,3,1
2252,25778,25778,1,0,0,4,0
2253,20731,34747,1,1,0,2,0
2254,25729,25729,1,0,0,3,0
2255,25494,25494,2,0,0,2,0
2256,25287,25287,1,0,0,1,0
2257,40657,30894,2,1,1,4,1
2258,25873,25873,2,0,0,3,0
2259,22966,35689,0,1,0,2,0
2260,19335,31592,2,1,0,3,0
2261,25966,25966,1,0,0,3,0
2262,26087,26087,2,0,0,3,0
2263,17903,30970,1,1,0,3,0
2264,26216,26216,2,0,0,3,0
2265,20391,34551,1,1,0,1,0
2266,37091,28909,2,1,1,1,1
2267,22127,35343,1,1,0,3,0
2268,16150,27837,2,1,0,2,0
2269,64966,26252,1,0,1,3,1
2270,48539,25400,1,0,1,4,1
2271,18978,32112,1,1,0,2,0
2272,17840,31136,1,1,0,4,0
2273,57853,34576,3,1,1,3,1
2274,25310,25310,2,0,0,4,0
2275,53365,25682,3,0,1,4,1
2276,20237,31658,3,1,0,1,1
2277,25166,25166,1,0,0,2,0
2278,25898,25898,1,0,0,3,0
2279,57558,25444,2,0,1,2,1
2280,22280,34419,2,1,0,2,1
2281,56980,33882,2,1,1,3,1
2282,25387,25387,2,0,0,2,0
2283,22243,35392,1,1,0,4,0
2284,17750,30437,2,1,0,2,0
2285,46755,32100,2,1,1,3,1
2286,19589,33606,2,1,0,3,0
2287,24501,24501,1,0,0,3,0
2288,17706,32002,2,1,0,4,0
2289,25460,25460,1,0,0,3,0
2290,18655,33745,2,1,0,4,0
2291,25380,25380,1,0,0,4,0
2292,26775,26775,2,0,0,3,0
2293,21429,34835,1,1,0,2,0
2294,26653,26653,1,0,0,3,0
2295,25285,25285,0,0,0,2,0
2296,50076,25085,2,0,1,3,1
2297,45685,32058,2,1,1,2,1
2298,25872,25872,2,0,0,2,0
2299,25779,25779,0,0,0,2,0
2300,26007,26007,1,0,0,2,0
2301,15113,28351,1,1,0,2,0
2302,25737,25737,2,0,0,3,0
2303,19158,32866,2,1,0,4,0
2304,24928,24928,0,0,0,2,0
2305,70898,38061,1,1,1,1,1
2306,18708,32663,1,1,0,3,0
2307,46405,26141,2,0,1,1,1
2308,54731,24572,2,0,1,1,1
2309,55049,24960,2,0,1,3,1
2310,19492,33511,1,1,0,3,0
2311,25040,25040,1,0,0,4,0
2312,18859,31633,1,1,0,4,0
2313,17769,32726,1,1,0,2,0
2314,25145,25145,1,0,0,3,0
2315,22213,36710,1,1,0,2,0
2316,50149,24972,4,0,1,3,1
2317,62014,35907,1,1,1,3,1
2318,62149,35240,2,1,1,2,1
2319,67643,36886,2,1,1,3,1
2320,44355,25369,2,0,1,3,1
2321,64710,25289,2,0,1,4,1
2322,17916,33298,1,1,0,4,0
2323,25839,25839,1,0,0,2,0
2324,26489,26489,2,0,0,4,0
2325,26110,26110,1,0,0,2,0
2326,61139,25522,1,0,1,2,1
2327,25852,25852,1,0,0,4,0
2328,20600,34697,1,1,0,2,0
2329,47352,26478,2,0,1,3,1
2330,46571,31810,2,1,1,3,1
2331,64290,25182,2,0,1,2,1
2332,57196,34061,2,1,1,1,1
2333,17185,30795,2,1,0,3,0
2334,25224,25224,3,0,0,1,1
2335,50568,32887,2,1,1,2,1
2336,50564,23844,2,0,1,4,1
2337,22093,32627,1,1,0,2,0
2338,25368,25368,1,0,0,1,0
2339,25829,25829,1,0,0,1,0
2340,52408,25371,2,0,1,1,1
2341,19229,31608,1,1,0,4,0
2342,25699,25699,2,0,0,2,0
2343,35480,29409,4,1,1,4,1
2344,16767,31176,2,1,0,3,0
2345,26134,26134,3,0,0,1,1
2346,20713,33392,4,1,0,3,1
2347,39697,25220,3,0,1,1,1
2348,17796,31262,1,1,0,1,0
2349,24640,24640,2,0,0,4,0
2350,26891,26891,2,0,0,2,0
2351,21171,33523,1,1,0,4,0
2352,26048,26048,1,0,0,2,0
2353,18983,34257,1,1,0,3,0
2354,16890,28391,1,1,0,2,0
2355,49752,25378,1,0,1,1,1
2356,21058,33393,2,1,0,4,0
2357,25699,25699,3,0,0,2,0
2358,26663,38369,1,1,0,1,0
2359,60278,24283,2,0,1,1,1
2360,26299,26299,2,0,0,4,0
2361,25086,38412,1,1,0,3,0
2362,20348,34124,4,1,0,4,1
2363,25535,25535,1,0,0,3,0
2364,21751,32571,1,1,0,4,0
2365,25775,25775,2,0,0,1,0
2366,21408,34249,1,1,0,4,0
2367,25566,25566,1,0,0,1,0
2368,26641,37859,2,1,0,2,1
2369,22240,34866,0,1,0,4,0
2370,25603,38494,2,1,0,4,1
2371,48935,27094,4,0,1,3,1
2372,44202,31271,3,1,1,1,1
2373,25700,25700,2,0,0,3,0
2374,14520,29247,1,1,0,3,0
2375,25217,25217,1,0,0,4,0
2376,36539,29147,4,1,1,4,1
2377,35735,28380,2,1,1,3,1
2378,18160,32132,1,1,0,1,0
2379,25856,25856,3,0,0,1,1
2380,18268,33272,1,1,0,3,0
2381,25675,25675,2,0,0,2,0
2382,26139,26139,1,0,0,3,0
2383,18698,32239,2,1,0,1,0
2384,26044,26044,2,0,0,4,0
2385,17690,31475,1,1,0,4,0
2386,25358,25358,2,0,0,1,0
2387,26671,26671,1,0,0,1,0
2388,16458,30866,1,1,0,3,0
2389,19598,32226,2,1,0,1,1
2390,36722,28903,2,1,1,4,1
2391,24778,24778,2,0,0,1,0
2392,21032,33738,1,1,0,1,0
2393,27004,27004,1,0,0,4,0
2394,20602,32688,2,1,0,4,0
2395,59338,34795,3,1,1,2,1
2396,26405,26405,3,0,0,2,1
2397,60088,25217,2,0,1,1,1
2398,56262,25339,1,0,1,2,1
2399,25828,25828,1,0,0,1,0
2400,26412,26412,1,0,0,3,0
2401,26419,26419,1,0,0,3,0
2402,20967,34894,1,1,0,2,0
2403,18202,30425,1,1,0,1,0
2404,17855,31487,1,1,0,1,0
2405,26059,26059,2,0,0,2,0
2406,25810,25810,1,0,0,3,0
2407,44248,31206,1,1,1,3,1
2408,33276,28545,2,1,1,1,1
2409,17628,30734,1,1,0,2,0
2410,25935,25935,1,0,0,2,0
2411,22992,36375,1,1,0,3,0
2412,17291,29394,1,1,0,3,0
2413,34930,29663,3,1,1,2,1
2414,26339,37992,2,1,0,2,1
2415,23886,37071,4,1,0,4,1
2416,54275,25492,2,0,1,2,1
2417,66050,36653,2,1,1,1,1
2418,15863,29325,3,1,0,1,1
2419,53710,32969,2,1,1,3,1
2420,17773,32083,1,1,0,3,0
2421,21076,34262,2,1,0,2,1
2422,28963,26580,1,1,1,4,1
2423,20106,33049,2,1,0,4,0
2424,17379,29625,2,1,0,4,0
2425,65667,25323,3,0,1,3,1
2426,24833,24833,1,0,0,2,0
2427,48927,31590,0,1,1,1,1
2428,21873,33820,1,1,0,3,0
2429,25058,25058,2,0,0,2,0
2430,25359,25359,0,0,0,1,0
2431,21582,34167,1,1,0,1,0
2432,26549,26549,1,0,0,3,0
2433,24801,24801,1,0,0,2,0
2434,26082,26082,2,0,0,2,0
2435,23664,37280,1,1,0,3,0
2436,25649,25649,3,0,0,4,0
2437,25472,25472,1,0,0,1,0
2438,19027,35000,2,1,0,2,0
2439,56318,34535,2,1,1,3,1
2440,17600,32297,0,1,0,1,0
2441,26288,26288,3,0,0,1,1
2442,15639,29878,3,1,0,4,0
2443,54479,34028,2,1,1,3,1
2444,15143,29498,2,1,0,3,0
2445,39513,29960,3,1,1,4,1
2446,25215,25215,1,0,0,1,0
2447,19992,33622,1,1,0,1,0
2448,67137,25930,1,0,1,2,1
2449,25703,25703,1,0,0,4,0
2450,54607,33652,2,1,1,2,1
2451,25134,25134,1,0,0,4,0
2452,26419,26419,2,0,0,2,0
2453,22815,35390,0,1,0,4,0
2454,19017,31986,1,1,0,3,0
2455,44588,31693,4,1,1,1,1
2456,13831,26752,2,1,0,3,0
2457,23570,35096,3,1,0,4,1
2458,25424,25424,2,0,0,2,0
2459,72332,36907,1,1,1,2,1
2460,21848,33892,1,1,0,4,0
2461,15173,29390,1,1,0,1,0
2462,20806,32468,4,1,0,1,1
2463,26062,26062,1,0,0,4,0
2464,49473,24169,2,0,1,1,1
2465,26639,26639,1,0,0,4,0
2466,25830,25830,1,0,0,2,0
2467,25440,25440,1,0,0,3,0
2468,53950,33214,2,1,1,1,1
2469,25735,25735,3,0,0,1,1
2470,25894,25894,1,0,0,3,0
2471,25634,25634,1,0,0,2,0
2472,21125,33008,2,1,0,1,1
2473,20654,35992,1,1,0,4,0
2474,25861,25861,1,0,0,4,0
2475,26626,26626,3,0,0,4,0
2476,62239,35877,3,1,1,1,1
2477,20875,35394,2,1,0,2,1
2478,47810,32942,2,1,1,3,1
2479,25626,25626,2,0,0,2,0
2480,25026,25026,1,0,0,2,0
2481,26557,26557,0,0,0,2,0
2482,15654,30535,1,1,0,4,0
2483,17724,31359,2,1,0,2,0
2484,21825,35079,3,1,0,3,1
2485,45430,24319,1,0,1,3,1
2486,25344,25344,1,0,0,3,0
2487,20419,33752,1,1,0,4,0
2488,26550,26550,1,0,0,4,0
2489,57681,34542,1,1,1,1,1
2490,25447,25447,1,0,0,1,0
2491,26103,26103,1,0,0,1,0
2492,26181,26181,2,0,0,1,0
2493,19326,31421,2,1,0,1,0
2494,79010,40007,1,1,1,1,1
2495,14793,28391,1,1,0,3,0
2496,26209,26209,1,0,0,4,0
2497,25485,25485,1,0,0,3,0
2498,19606,32735,2,1,0,1,1
2499,21114,34355,2,1,0,2,1
2500,25704,25704,0,0,0,1,0
2501,25729,25729,1,0,0,2,0
2502,25569,25569,0,0,0,3,0
2503,21301,34296,2,1,0,2,1
2504,18356,31890,2,1,0,1,0
2505,47726,25660,2,0,1,4,1
2506,51289,32771,1,1,1,1,1
2507,58129,34987,3,1,1,4,1
2508,25200,37104,1,1,0,3,0
2509,19703,32145,2,1,0,4,0
2510,16842,31202,3,1,0,3,1
2511,26792,26792,1,0,0,4,0
2512,18424,31029,2,1,0,2,0
2513,25653,25653,2,0,0,2,0
2514,17142,29982,2,1,0,3,0
2515,18150,30662,2,1,0,2,0
2516,25104,25104,2,0,0,4,0
2517,60610,35322,2,1,1,4,1
2518,21500,35408,1,1,0,2,0
2519,26481,26481,2,0,0,4,0
2520,20742,34424,3,1,0,3,1
2521,36420,25742,2,0,1,1,1
2522,26495,26495,1,0,0,2,0
2523,26194,26194,2,0,0,3,0
2524,19591,32692,1,1,0,3,0
2525,51029,32138,2,1,1,3,1
2526,19636,34062,1,1,0,1,0
2527,68470,25729,3,0,1,4,1
2528,58459,34759,1,1,1,4,1
2529,21539,34499,1,1,0,2,0
2530,50278,32818,2,1,1,2,1
2531,17529,30515,0,1,0,2,0
2532,26163,26163,1,0,0,1,0
2533,26551,26551,1,0,0,4,0
2534,21291,33383,1,1,0,2,0
2535,25596,25596,3,0,0,1,1
2536,24974,24974,1,0,0,2,0
2537,19863,33289,2,1,0,4,0
2538,23523,35034,1,1,0,3,0
2539,21616,35077,2,1,0,3,0
2540,18812,29848,1,1,0,1,0
2541,25768,25768,1,0,0,3,0
2542,47236,32197,3,1,1,3,1
2543,25781,25781,2,0,0,2,0
2544,25534,25534,1,0,0,3,0
2545,46826,31719,2,1,1,3,1
2546,24926,24926,1,0,0,3,0
2547,17652,31131,1,1,0,2,0
2548,25462,25462,1,0,0,3,0
2549,21210,35002,2,1,0,1,1
2550,19754,32085,1,1,0,1,0
2551,26378,26378,2,0,0,2,0
2552,26163,26163,3,0,0,3,0
2553,25992,25992,2,0,0,1,0
2554,26036,26036,1,0,0,2,0
2555,57382,24615,4,0,1,3,1
2556,25871,25871,2,0,0,1,0
2557,25220,25220,1,0,0,2,0
2558,25745,25745,1,0,0,4,0
2559,51617,25654,1,0,1,4,1
2560,25303,25303,2,0,0,4,0
2561,25785,25785,2,0,0,3,0
2562,18698,34048,1,1,0,2,0
2563,19212,32289,2,1,0,1,0
2564,21498,33290,1,1,0,3,0
2565,26102,26102,1,0,0,2,0
2566,43273,25805,2,0,1,1,1
2567,55107,34030,2,1,1,3,1
2568,18347,31876,1,1,0,2,0
2569,43919,31486,2,1,1,4,1
2570,19391,32259,1,1,0,3,0
2571,16127,29063,1,1,0,3,0
2572,18036,29108,2,1,0,2,0
2573,10160,23083,2,1,0,1,0
2574,18659,34261,1,1,0,3,0
2575,21808,34258,1,1,0,2,0
2576,15943,31167,2,1,0,4,0
2577,21407,34188,1,1,0,4,0
2578,60485,35259,2,1,1,1,1
2579,61775,35057,1,1,1,3,1
2580,51142,26143,3,0,1,4,1
2581,17316,29727,3,1,0,3,1
2582,27383,27383,1,0,0,3,0
2583,21520,32988,1,1,0,2,0
2584,62663,35252,3,1,1,3,1
2585,19835,34522,1,1,0,3,0
2586,26393,26393,2,0,0,3,0
2587,26254,26254,1,0,0,2,0
2588,48850,32846,1,1,1,3,1
2589,19521,35026,1,1,0,3,0
2590,16384,28513,1,1,0,3,0
2591,63240,25494,1,0,1,3,1
2592,52555,25882,2,0,1,3,1
2593,17886,33576,1,1,0,4,0
2594,19381,33338,1,1,0,3,0
2595,24957,24957,3,0,0,3,0
2596,35364,27816,2,1,1,3,1
2597,25028,25028,0,0,0,2,0
2598,21057,34289,1,1,0,3,0
2599,25681,25681,2,0,0,1,0
2600,18514,32136,1,1,0,4,0
2601,25928,25928,2,0,0,1,0
2602,16630,30469,2,1,0,2,0
2603,23439,33841,2,1,0,3,0
2604,16686,30424,2,1,0,2,0
2605,25024,25024,1,0,0,1,0
2606,44171,31337,2,1,1,2,1
2607,26510,26510,1,0,0,3,0
2608,18660,30551,2,1,0,2,0
2609,19941,33265,0,1,0,4,0
2610,20624,34432,2,1,0,4,0
2611,20626,32556,2,1,0,4,0
2612,20353,34323,4,1,0,3,1
2613,52107,26073,2,0,1,1,1
2614,21817,33718,1,1,0,1,0
2615,25931,25931,0,0,0,4,0
2616,61010,25695,2,0,1,2,1
2617,26027,26027,1,0,0,3,0
2618,19994,35229,2,1,0,4,0
2619,25353,25353,2,0,0,4,0
2620,17334,31969,1,1,0,2,0
2621,43349,30712,3,1,1,2,1
2622,57949,25323,2,0,1,3,1
2623,25538,25538,2,0,0,1,0
2624,22317,34357,1,1,0,3,0
2625,15036,28725,1,1,0,3,0
2626,56289,33456,3,1,1,3,1
2627,19839,33153,2,1,0,3,0
2628,26017,26017,1,0,0,3,0
2629,17775,31307,1,1,0,1,0
2630,26238,26238,1,0,0,2,0
2631,26630,26630,0,0,0,2,0
2632,23132,35489,2,1,0,1,1
2633,23921,36015,2,1,0,1,1
2634,26388,26388,2,0,0,3,0
2635,48289,24632,2,0,1,2,1
2636,25550,25550,3,0,0,4,0
2637,16636,30212,1,1,0,4,0
2638,27020,37313,3,1,0,2,1
2639,25681,25681,1,0,0,3,0
2640,26580,26580,1,0,0,4,0
2641,66498,26303,3,0,1,3,1
2642,17266,31021,1,1,0,3,0
2643,24421,34963,1,1,0,3,0
2644,25622,25622,1,0,0,1,0
2645,26064,26064,2,0,0,4,0
2646,25765,25765,1,0,0,4,0
2647,25234,37725,2,1,0,1,1
2648,29946,27964,1,1,1,1,1
2649,25149,25149,0,0,0,2,0
2650,57741,24354,1,0,1,1,1
2651,51816,24777,2,0,1,1,1
2652,45174,30599,1,1,1,1,1
2653,24938,24938,3,0,0,2,0
2654,24344,36183,1,1,0,4,0
2655,19952,32236,2,1,0,2,0
2656,26450,26450,1,0,0,3,0
2657,49995,32807,2,1,1,4,1
2658,25821,25821,1,0,0,1,0
2659,41348,31635,3,1,1,4,1
2660,25897,25897,1,0,0,3,0
2661,26083,26083,1,0,0,4,0
2662,22479,36170,1,1,0,4,0
2663,17566,30498,1,1,0,4,0
2664,52506,31877,3,1,1,1,1
2665,42952,31179,3,1,1,2,1
2666,18356,33814,0,1,0,1,0
2667,26257,26257,1,0,0,3,0
2668,17859,31941,1,1,0,2,0
2669,21300,32360,2,1,0,2,0
2670,32098,30096,2,1,1,3,1
2671,19782,33425,1,1,0,4,0
2672,26007,26007,1,0,0,2,0
2673,26232,26232,1,0,0,3,0
2674,25604,25604,2,0,0,3,0
2675,16376,30873,1,1,0,1,0
2676,25800,25800,2,0,0,4,0
2677,24147,37135,1,1,0,4,0
2678,37049,28975,1,1,1,4,1
2679,25208,25208,2,0,0,2,0
2680,26406,26406,2,0,0,1,0
2681,62889,26007,2,0,1,1,1
2682,25934,25934,1,0,0,3,0
2683,52592,26326,1,0,1,1,1
2684,16725,29842,2,1,0,2,0
2685,47982,25810,2,0,1,2,1
2686,12053,25019,1,1,0,2,0
2687,18853,32807,1,1,0,3,0
2688,17338,31861,2,1,0,4,0
2689,17425,30273,1,1,0,3,0
2690,16829,32055,2,1,0,2,0
2691,52516,24071,0,0,1,4,1
2692,16843,29481,1,1,0,2,0
2693,25857,25857,2,0,0,3,0
2694,25178,25178,1,0,0,3,0
2695,25246,25246,2,0,0,4,0
2696,26236,26236,2,0,0,2,0
2697,18982,33285,1,1,0,3,0
2698,25723,25723,3,0,0,2,0
2699,43488,30486,1,1,1,2,1
2700,16231,30647,3,1,0,2,1
2701,25709,25709,0,0,0,3,0
2702,14197,29364,1,1,0,1,0
2703,45470,25413,1,0,1,2,1
2704,23023,34907,3,1,0,3,1
2705,20342,33329,3,1,0,2,1
2706,19851,33210,2,1,0,1,1
2707,50097,32848,4,1,1,4,1
2708,25755,25755,0,0,0,4,0
2709,20850,34100,2,1,0,1,1
2710,20793,33890,1,1,0,4,0
2711,25284,25284,1,0,0,3,0
2712,26176,26176,1,0,0,2,0
2713,21899,33751,2,1,0,1,1
2714,23034,37015,2,1,0,1,1
2715,25498,25498,1,0,0,1,0
2716,58521,25093,1,0,1,4,1
2717,26111,26111,1,0,0,2,0
2718,18772,30387,1,1,0,2,0
2719,23640,35447,2,1,0,4,0
2720,19533,31946,1,1,0,1,0
2721,25928,25928,1,0,0,1,0
2722,55004,34696,2,1,1,1,1
2723,22039,33920,1,1,0,4,0
2724,26251,26251,1,0,0,3,0
2725,25757,25757,1,0,0,3,0
2726,25719,25719,0,0,0,1,0
2727,15557,28639,1,1,0,2,0
2728,17390,32451,3,1,0,4,1
2729,57595,34690,2,1,1,3,1
2730,19068,30992,2,1,0,4,0
2731,45310,24936,2,0,1,1,1
2732,57319,35233,3,1,1,2,1
2733,21792,33947,4,1,0,1,1
2734,16632,31225,2,1,0,4,0
2735,21471,35259,3,1,0,2,1
2736,25964,25964,0,0,0,2,0
2737,26150,26150,2,0,0,4,0
2738,21854,32694,1,1,0,1,0
2739,46341,26644,3,0,1,4,1
2740,26292,26292,1,0,0,4,0
2741,23531,34226,0,1,0,2,0
2742,16280,30692,3,1,0,3,1
2743,16594,32315,2,1,0,1,0
2744,22989,36002,1,1,0,2,0
2745,25849,25849,1,0,0,4,0
2746,57827,33582,1,1,1,3,1
2747,24650,36084,4,1,0,1,1
2748,17783,31080,3,1,0,4,1
2749,58800,24981,1,0,1,1,1
2750,35847,28757,2,1,1,2,1
2751,15272,28885,1,1,0,1,0
2752,25861,25861,1,0,0,3,0
2753,22233,35603,1,1,0,4,0
2754,20151,32258,1,1,0,1,0
2755,25645,25645,1,0,0,4,0
2756,26364,26364,1,0,0,4,0
2757,44984,31890,2,1,1,4,1
2758,51010,32870,2,1,1,2,1
2759,46732,31511,2,1,1,2,1
2760,18475,31362,1,1,0,1,0
2761,24451,38224,3,1,0,1,1
2762,17474,30116,1,1,0,2,0
2763,20914,33308,1,1,0,2,0
2764,21249,31906,2,1,0,4,0
2765,25638,25638,2,0,0,3,0
2766,26505,26505,2,0,0,4,0
2767,17764,30527,2,1,0,3,0
2768,49058,25586,1,0,1,3,1
2769,25473,25473,1,0,0,2,0
2770,48052,32496,2,1,1,2,1
2771,26713,26713,0,0,0,1,0
2772,47266,31855,1,1,1,4,1
2773,18405,31949,1,1,0,3,0
2774,20473,31788,0,1,0,2,0
2775,48023,31756,1,1,1,3,1
2776,53378,25392,2,0,1,2,1
2777,49244,32299,2,1,1,3,1
2778,26087,26087,1,0,0,2,0
2779,21144,33571,1,1,0,1,0
2780,39942,29598,2,1,1,4,1
2781,25726,25726,1,0,0,4,0
2782,15647,30240,1,1,0,4,0
2783,26703,26703,1,0,0,4,0
2784,47385,24234,1,0,1,2,1
2785,17887,30948,1,1,0,2,0
2786,20835,35128,1,1,0,3,0
2787,21687,34462,1,1,0,1,0
2788,51302,24567,2,0,1,4,1
2789,15916,29516,1,1,0,2,0
2790,18471,31857,1,1,0,2,0
2791,16521,30572,2,1,0,2,0
2792,44911,31228,2,1,1,1,1
2793,19104,32324,1,1,0,3,0
2794,24061,35456,2,1,0,3,1
2795,51924,23839,4,0,1,3,1
2796,26665,26665,2,0,0,3,0
2797,16607,30276,2,1,0,4,0
2798,26776,26776,1,0,0,1,0
2799,26004,26004,1,0,0,4,0
2800,25076,25076,2,0,0,1,0
2801,24661,37393,2,1,0,1,1
2802,23670,35361,1,1,0,4,0
2803,45356,24706,1,0,1,3,1
2804,20160,32513,3,1,0,3,1
2805,20253,32364,1,1,0,2,0
2806,46747,30689,3,1,1,1,1
2807,16092,28426,3,1,0,4,0
2808,25783,25783,1,0,0,3,0
2809,25766,25766,2,0,0,1,0
2810,27217,27217,2,0,0,2,0
2811,25974,25974,1,0,0,3,0
2812,20938,34048,0,1,0,3,0
2813,64885,36405,4,1,1,3,1
2814,17000,31892,2,1,0,1,0
2815,20140,32805,1,1,0,4,0
2816,33981,28308,1,1,1,2,1
2817,37269,25491,2,0,1,3,1
2818,24371,35890,1,1,0,4,0
2819,48968,32624,3,1,1,3,1
2820,38753,29525,2,1,1,1,1
2821,19501,32662,2,1,0,3,0
2822,55358,33616,4,1,1,3,1
2823,26537,26537,1,0,0,1,0
2824,19578,31740,2,1,0,2,0
2825,24967,37484,2,1,0,1,1
2826,16357,31526,1,1,0,4,0
2827,25204,25204,2,0,0,2,0
2828,25324,25324,1,0,0,3,0
2829,25970,25970,1,0,0,4,0
2830,26219,26219,1,0,0,4,0
2831,25603,25603,1,0,0,1,0
2832,25692,25692,1,0,0,2,0
2833,26266,26266,2,0,0,4,0
2834,19457,33254,2,1,0,2,0
2835,17838,30996,1,1,0,4,0
2836,53212,33568,1,1,1,4,1
2837,25399,25399,2,0,0,2,0
2838,19778,33535,2,1,0,3,0
2839,21025,33108,1,1,0,3,0
2840,19796,32839,2,1,0,4,0
2841,25556,25556,0,0,0,4,0
2842,18810,34255,1,1,0,1,0
2843,39479,29666,2,1,1,2,1
2844,25966,25966,3,0,0,1,1
2845,19987,33176,2,1,0,3,0
2846,35188,25781,0,0,1,2,1
2847,19488,31241,1,1,0,1,0
2848,37073,28673,3,1,1,1,1
2849,14037,29691,2,1,0,1,0
2850,26517,26517,2,0,0,3,0
2851,25467,25467,1,0,0,3,0
2852,18855,32268,3,1,0,2,1
2853,26856,26856,1,0,0,3,0
2854,19100,31667,2,1,0,1,0
2855,44776,25850,2,0,1,2,1
2856,22861,33521,2,1,0,1,1
2857,21986,34217,1,1,0,2,0
2858,11455,29040,4,1,0,2,1
2859,46858,24659,1,0,1,1,1
2860,25652,25652,1,0,0,4,0
2861,26707,26707,1,0,0,4,0
2862,61841,35682,1,1,1,3,1
2863,64755,25585,2,0,1,3,1
2864,24873,24873,3,0,0,2,0
2865,26269,26269,2,0,0,4,0
2866,19089,32767,1,1,0,1,0
2867,43067,25106,2,0,1,1,1
2868,54595,24928,1,0,1,3,1
2869,56859,34307,2,1,1,3,1
2870,19222,33294,1,1,0,2,0
2871,26169,26169,2,0,0,4,0
2872,18392,30919,1,1,0,3,0
2873,24417,35751,3,1,0,4,1
2874,56625,25169,2,0,1,1,1
2875,40092,24891,2,0,1,1,1
2876,17881,30183,2,1,0,1,0
2877,26830,26830,1,0,0,4,0
2878,21383,32320,1,1,0,4,0
2879,50480,25299,2,0,1,2,1
2880,26249,26249,2,0,0,2,0
2881,40004,26086,2,0,1,2,1
2882,23775,35982,1,1,0,2,0
2883,39193,26007,2,0,1,4,1
2884,25587,25587,1,0,0,2,0
2885,53716,32835,3,1,1,1,1
2886,21072,34721,1,1,0,2,0
2887,49672,25010,2,0,1,4,1
2888,15174,31311,2,1,0,4,0
2889,25482,25482,1,0,0,3,0
2890,25249,25249,1,0,0,2,0
2891,25470,25470,1,0,0,3,0
2892,22213,35191,2,1,0,4,0
2893,26999,26999,2,0,0,2,0
2894,26926,26926,3,0,0,4,0
2895,20287,33893,3,1,0,4,1
2896,26534,26534,1,0,0,4,0
2897,25626,25626,1,0,0,1,0
2898,20406,33398,2,1,0,3,0
2899,18536,32080,2,1,0,2,0
2900,23756,36962,1,1,0,3,0
2901,25801,25801,2,0,0,2,0
2902,16410,32016,2,1,0,3,0
2903,57793,25573,1,0,1,3,1
2904,21808,34935,1,1,0,3,0
2905,19659,32754,3,1,0,3,1
2906,25376,25376,1,0,0,3,0
2907,26330,26330,1,0,0,1,0
